h1.coal	1.0
h2.coal	1.0
h3.coal	1.0
h4.coal	1.0
h5.coal	1.0
h6.coal	1.0
h7.coal	1.0
h8.coal	1.0
h9.coal	1.0
h10.coal	1.0
h11.coal	1.0
h12.coal	1.0
h13.coal	1.0
h14.coal	1.0
h15.coal	1.0
h16.coal	1.0
h17.coal	1.0
h18.coal	1.0
h19.coal	1.0
h20.coal	1.0
h21.coal	1.0
h22.coal	1.0
h23.coal	1.0
h24.coal	1.0
h25.coal	1.0
h26.coal	1.0
h27.coal	1.0
h28.coal	1.0
h29.coal	1.0
h30.coal	1.0
h31.coal	1.0
h32.coal	1.0
h33.coal	1.0
h34.coal	1.0
h35.coal	1.0
h36.coal	1.0
h37.coal	1.0
h38.coal	1.0
h39.coal	1.0
h40.coal	1.0
h41.coal	1.0
h42.coal	1.0
h43.coal	1.0
h44.coal	1.0
h45.coal	1.0
h46.coal	1.0
h47.coal	1.0
h48.coal	1.0
h49.coal	1.0
h50.coal	1.0
h51.coal	1.0
h52.coal	1.0
h53.coal	1.0
h54.coal	1.0
h55.coal	1.0
h56.coal	1.0
h57.coal	1.0
h58.coal	1.0
h59.coal	1.0
h60.coal	1.0
h61.coal	1.0
h62.coal	1.0
h63.coal	1.0
h64.coal	1.0
h65.coal	1.0
h66.coal	1.0
h67.coal	1.0
h68.coal	1.0
h69.coal	1.0
h70.coal	1.0
h71.coal	1.0
h72.coal	1.0
h73.coal	1.0
h74.coal	1.0
h75.coal	1.0
h76.coal	1.0
h77.coal	1.0
h78.coal	1.0
h79.coal	1.0
h80.coal	1.0
h81.coal	1.0
h82.coal	1.0
h83.coal	1.0
h84.coal	1.0
h85.coal	1.0
h86.coal	1.0
h87.coal	1.0
h88.coal	1.0
h89.coal	1.0
h90.coal	1.0
h91.coal	1.0
h92.coal	1.0
h93.coal	1.0
h94.coal	1.0
h95.coal	1.0
h96.coal	1.0
h97.coal	1.0
h98.coal	1.0
h99.coal	1.0
h100.coal	1.0
h101.coal	1.0
h102.coal	1.0
h103.coal	1.0
h104.coal	1.0
h105.coal	1.0
h106.coal	1.0
h107.coal	1.0
h108.coal	1.0
h109.coal	1.0
h110.coal	1.0
h111.coal	1.0
h112.coal	1.0
h113.coal	1.0
h114.coal	1.0
h115.coal	1.0
h116.coal	1.0
h117.coal	1.0
h118.coal	1.0
h119.coal	1.0
h120.coal	1.0
h121.coal	1.0
h122.coal	1.0
h123.coal	1.0
h124.coal	1.0
h125.coal	1.0
h126.coal	1.0
h127.coal	1.0
h128.coal	1.0
h129.coal	1.0
h130.coal	1.0
h131.coal	1.0
h132.coal	1.0
h133.coal	1.0
h134.coal	1.0
h135.coal	1.0
h136.coal	1.0
h137.coal	1.0
h138.coal	1.0
h139.coal	1.0
h140.coal	1.0
h141.coal	1.0
h142.coal	1.0
h143.coal	1.0
h144.coal	1.0
h145.coal	1.0
h146.coal	1.0
h147.coal	1.0
h148.coal	1.0
h149.coal	1.0
h150.coal	1.0
h151.coal	1.0
h152.coal	1.0
h153.coal	1.0
h154.coal	1.0
h155.coal	1.0
h156.coal	1.0
h157.coal	1.0
h158.coal	1.0
h159.coal	1.0
h160.coal	1.0
h161.coal	1.0
h162.coal	1.0
h163.coal	1.0
h164.coal	1.0
h165.coal	1.0
h166.coal	1.0
h167.coal	1.0
h168.coal	1.0
h169.coal	1.0
h170.coal	1.0
h171.coal	1.0
h172.coal	1.0
h173.coal	1.0
h174.coal	1.0
h175.coal	1.0
h176.coal	1.0
h177.coal	1.0
h178.coal	1.0
h179.coal	1.0
h180.coal	1.0
h181.coal	1.0
h182.coal	1.0
h183.coal	1.0
h184.coal	1.0
h185.coal	1.0
h186.coal	1.0
h187.coal	1.0
h188.coal	1.0
h189.coal	1.0
h190.coal	1.0
h191.coal	1.0
h192.coal	1.0
h193.coal	1.0
h194.coal	1.0
h195.coal	1.0
h196.coal	1.0
h197.coal	1.0
